220,241,252,0.1
182,227,248,0.2
148,208,241,0.3
113,179,224,0.4
80,150,206,0.5
72,154,182,0.6
73,168,113,0.7
87,184,72,0.8
154,204,80,0.9
226,224,89,1.0
249,201,80,1.1
248,154,80,1.2
244,104,41,1.3
230,75,41,1.4
217,46,40,1.5
199,29,37,1.6
173,25,31,1.7
