         330           0           2         255
         320           0          17         255
         310           0          33         255
         300           0          47         255
         290           0         105         255
         280           0         166         255
         274           0         200         255
         270           0         167           0
         260           0         223           0
         249         200         150           1
         243         255         255           0
         232         254           0           0
         222         255         255         255
         216           0           0           0
         212           0         200         200
         211         250          54         240
         205         252         143         246
         200         253         210         251
         196         255         255         255
