           1           0           0         255
           2           0           0         255
           3           0           1         255
           4           0           1         255
           5           0           2         255
           6           0           2         255
           7           0           3         255
           8           0           3         255
           9           0           4         255
          10           0           4         255
          11           0           5         255
          12           0           5         255
          13           0           6         255
          14           0           6         255
          15           0           7         255
          16           0           8         255
          17           0           8         255
          18           0           9         255
          19           0           9         255
          20           0          10         255
          21           0          10         255
          22           0          11         255
          23           0          11         255
          24           0          12         255
          25           0          12         255
          26           0          13         255
          27           0          13         255
          28           0          14         255
          29           0          15         255
          30           0          15         255
          31           0          16         255
          32           0          16         255
          33           0          17         255
          34           0          17         255
          35           0          18         255
          36           0          18         255
          37           0          19         255
          38           0          19         255
          39           0          20         255
          40           0          20         255
          41           0          21         255
          42           0          22         255
          43           0          22         255
          44           0          23         255
          45           0          23         255
          46           0          24         255
          47           0          24         255
          48           0          25         255
          49           0          25         255
          50           0          26         255
          51           0          26         255
          52           0          27         255
          53           0          27         255
          54           0          28         255
          55           0          29         255
          56           0          29         255
          57           0          30         255
          58           0          30         255
          59           0          31         255
          60           0          31         255
          61           0          32         255
          62           0          32         255
          63           0          33         255
          64           0          33         255
          65           0          34         255
          66           0          34         255
          67           0          35         255
          68           0          36         255
          69           0          36         255
          70           0          37         255
          71           0          37         255
          72           0          38         255
          73           0          38         255
          74           0          39         255
          75           0          39         255
          76           0          40         255
          77           0          40         255
          78           0          41         255
          79           0          41         255
          80           0          42         255
          81           0          43         255
          82           0          43         255
          83           0          44         255
          84           0          44         255
          85           0          45         255
          86           0          45         255
          87           0          46         255
          88           0          46         255
          89           0          47         255
          90           0          47         255
          91           0          48         255
          92           0          48         255
          93           0          49         255
          94           0          50         255
          95           0          52         255
          96           0          55         255
          97           0          58         255
          98           0          61         255
          99           0          63         255
         100           0          66         255
         101           0          69         255
         102           0          72         255
         103           0          75         255
         104           0          77         255
         105           0          80         255
         106           0          83         255
         107           0          86         255
         108           0          88         255
         109           0          91         255
         110           0          94         255
         111           0          97         255
         112           0         100         255
         113           0         102         255
         114           0         105         255
         115           0         108         255
         116           0         111         255
         117           0         113         255
         118           0         116         255
         119           0         119         255
         120           0         122         255
         121           0         125         255
         122           0         127         255
         123           0         130         255
         124           0         133         255
         125           0         136         255
         126           0         138         255
         127           0         141         255
         128           0         144         255
         129           0         147         255
         130           0         150         255
         131           0         152         255
         132           0         155         255
         133           0         158         255
         134           0         161         255
         135           0         163         255
         136           0         166         255
         137           0         169         255
         138           0         172         255
         139           0         175         255
         140           0         177         255
         141           0         180         255
         142           0         183         255
         143           0         186         255
         144           0         188         255
         145           0         191         255
         146           0         194         255
         147           0         197         255
         148           0         200         255
         149           0         145           0
         150           0         148           0
         151           0         151           0
         152           0         154           0
         153           0         157           0
         154           0         160           0
         155           0         163           0
         156           0         167           0
         157           0         170           0
         158           0         173           0
         159           0         176           0
         160           0         179           0
         161           0         182           0
         162           0         185           0
         163           0         189           0
         164           0         192           0
         165           0         195           0
         166           0         198           0
         167           0         201           0
         168           0         204           0
         169           0         207           0
         170           0         211           0
         171           0         214           0
         172           0         217           0
         173           0         220           0
         174           0         223           0
         175           0         226           0
         176           0         229           0
         177           0         233           0
         178           0         236           0
         179           0         239           0
         180           0         242           0
         181           0         245           0
         182           0         248           0
         183           0         251           0
         184           0         255           0
         185         200         150           1
         186         200         150           1
         187         200         150           1
         188         200         150           1
         189         200         150           1
         190         200         150           1
         191         200         150           1
         192         255         255           0
         193         255         255           0
         194         255         255           0
         195         255         255           0
         196         255         255           0
         197         255         255           0
         198         255         255           0
         199         255         255           0
         200         254           0           0
         201         254           0           0
         202         254           0           0
         203         254           0           0
         204         254           0           0
         205         254           0           0
         206         254           0           0
         207         254           0           0
         208         254           0           0
         209         254           0           0
         210         254           0           0
         211         254           0           0
         212         254           0           0
         213         255         255         255
         214         255         255         255
         215         255         255         255
         216         255         255         255
         217         255         255         255
         218         255         255         255
         219         255         255         255
         220         255         255         255
         221         255         255         255
         222         255         255         255
         223           0           0           0
         224           0           0           0
         225           0           0           0
         226           0           0           0
         227           0           0           0
         228           0         200         200
         229           0         200         200
         230           0         200         200
         231         250          54         240
         232         250          76         241
         233         251          98         243
         234         251         121         245
         235         252         143         246
         236         252         165         248
         237         253         188         250
         238         253         210         251
         239         254         232         253
         240         255         255         255
         241         255         255         255
         242         255         255         255
         243         255         255         255
         244         255         255         255
         245         255         255         255
         246         255         255         255
         247         255         255         255
         248         255         255         255
         249         255         255         255
         250         255         255         255
         251         255         255         255
         252         255         255         255
         253         255         255         255
         254         255         255         255
         255         255         255         255
         256         255         255         255

