code,name,campus,location_name,address,lon,lat,city,town,education_stage
11606,私立信賢種籽親子實小,校本部校區,私立信賢種籽親子實小_校本部校區,新北市烏來區信賢里娃娃谷41號,121.5286407,24.83901215,新北市,烏來區,國小
13601,市立北大國小,三峽區校區,市立北大國小_三峽區校區,新北市三峽區國光街100號,121.3732376,24.93884087,新北市,三峽區,國小
13602,市立新林國小,校本部校區,市立新林國小_校本部校區,新北市林口區三民路、忠孝三路、文明街及井泉街,121.3606873,25.07115936,新北市,林口區,國小
14601,市立板橋國小,校本部校區,市立板橋國小_校本部校區,新北市板橋區黃石里文化路一段23號,121.4582367,25.01086044,新北市,板橋區,國小
14602,市立國光國小,校本部校區,市立國光國小_校本部校區,新北市板橋區中正路325巷30號,121.4533463,25.01942062,新北市,板橋區,國小
14603,市立新埔國小,校本部校區,市立新埔國小_校本部校區,新北市板橋區新翠里陽明街206號,121.4625931,25.02588272,新北市,板橋區,國小
14604,市立埔墘國小,校本部校區,市立埔墘國小_校本部校區,新北市板橋區永豐街42之8號,121.4744492,25.01867676,新北市,板橋區,國小
14605,市立莒光國小,校本部校區,市立莒光國小_校本部校區,新北市板橋區華翠里莒光路163號,121.4736252,25.02611351,新北市,板橋區,國小
14606,市立後埔國小,校本部校區,市立後埔國小_校本部校區,新北市板橋區重慶路157號,121.4626999,25.00334549,新北市,板橋區,國小
14607,市立海山國小,校本部校區,市立海山國小_校本部校區,新北市板橋區漢生東路280號,121.4703598,25.00926208,新北市,板橋區,國小
14608,市立江翠國小,校本部校區,市立江翠國小_校本部校區,新北市板橋區松翠里文化路二段413號,121.4741592,25.03237343,新北市,板橋區,國小
14610,市立文聖國小,校本部校區,市立文聖國小_校本部校區,新北市板橋區文聖街86號,121.4771729,25.02950096,新北市,板橋區,國小
14611,市立沙崙國小,校本部校區,市立沙崙國小_校本部校區,新北市板橋區篤行路二段132號,121.4305344,24.989748,新北市,板橋區,國小
14612,市立文德國小,校本部校區,市立文德國小_校本部校區,板橋區英士路179號,121.4585037,25.02251053,新北市,板橋區,國小
14613,市立樹林國小,校本部校區,市立樹林國小_校本部校區,新北市樹林區育英街176號,121.4178314,24.98942757,新北市,樹林區,國小
14614,市立文林國小,校本部校區,市立文林國小_校本部校區,新北市樹林區潭底里千歲街59號,121.4261017,24.9975071,新北市,樹林區,國小
14615,市立大同國小,校本部校區,市立大同國小_校本部校區,新北市樹林區大同街43號,121.4175186,24.98130989,新北市,樹林區,國小
14616,市立武林國小,校本部校區,市立武林國小_校本部校區,新北市樹林區保安街二段151號,121.4153595,25.00164604,新北市,樹林區,國小
14617,市立山佳國小,校本部校區,市立山佳國小_校本部校區,新北市樹林區中山路三段5號,121.4017487,24.97551918,新北市,樹林區,國小
14618,市立育德國小,校本部校區,市立育德國小_校本部校區,新北市樹林區中山里佳園路一段34號,121.3925018,24.97089386,新北市,樹林區,國小
14618,市立育德國小,樹林區育德國小,市立育德國小_樹林區育德國小,新北市樹林區中山里佳園路一段34號,121.3925018,24.97087288,新北市,樹林區,國小
14619,市立柑園國小,校本部校區,市立柑園國小_校本部校區,新北市樹林區柑園街一段353號,121.3894882,24.95574379,新北市,樹林區,國小
14620,市立鶯歌國小,校本部校區,市立鶯歌國小_校本部校區,新北市鶯歌區同慶里尖山埔路106號,121.3457642,24.95118141,新北市,鶯歌區,國小
14620,市立鶯歌國小,校園平面圖,市立鶯歌國小_校園平面圖,新北市鶯歌區同慶里尖山埔路106號,121.3461685,24.95104408,新北市,鶯歌區,國小
14621,市立二橋國小,校本部校區,市立二橋國小_校本部校區,新北市鶯歌區二橋里中正三路106號,121.3376312,24.94087219,新北市,鶯歌區,國小
14622,市立中湖國小,校本部校區,市立中湖國小_校本部校區,新北市鶯歌區中湖里中湖街25號,121.3480988,24.9729805,新北市,鶯歌區,國小
14623,市立鳳鳴國小,校本部校區,市立鳳鳴國小_校本部校區,新北市鶯歌區鳳鳴里永和街120號,121.3350525,24.9691391,新北市,鶯歌區,國小
14624,市立三峽國小,校本部校區,市立三峽國小_校本部校區,新北市三峽區中山路16號,121.3685379,24.93528366,新北市,三峽區,國小
14625,市立大埔國小,校本部校區,市立大埔國小_校本部校區,新北市三峽區大埔路130號,121.3664627,24.90574265,新北市,三峽區,國小
14626,市立民義國小,校本部校區,市立民義國小_校本部校區,新北市三峽區嘉添里白雞路40號,121.3751526,24.91143227,新北市,三峽區,國小
14627,市立成福國小,校本部校區,市立成福國小_校本部校區,新北市三峽區溪東路213號,121.4056854,24.93320274,新北市,三峽區,國小
14628,市立大成國小,校本部校區,市立大成國小_校本部校區,新北市三峽區成福路251巷2號,121.4277725,24.92456245,新北市,三峽區,國小
14629,市立建安國小,校本部校區,市立建安國小_校本部校區,新北市三峽區安坑里建安路67號,121.4468079,24.92622185,新北市,三峽區,國小
14630,市立插角國小,校本部校區,市立插角國小_校本部校區,新北市三峽區插角里插角路39號,121.4052277,24.87235069,新北市,三峽區,國小
14630,市立插角國小,金敏校區,市立插角國小_金敏校區,新北市三峽區插角里插角路39號,121.3845139,24.87427139,新北市,三峽區,國小
14631,市立有木國小,校本部校區,市立有木國小_校本部校區,新北市三峽區有木里131號,121.4371262,24.85393333,新北市,三峽區,國小
14632,市立五寮國小,校本部校區,市立五寮國小_校本部校區,新北市三峽區五寮里69號,121.360199,24.85883331,新北市,三峽區,國小
14633,市立中和國小,校本部校區,市立中和國小_校本部校區,新北市中和區中和路100號,121.5016098,24.99986076,新北市,中和區,國小
14633,市立中和國小,中和國小,市立中和國小_中和國小,新北市中和區中和路100號,121.5016098,24.99970627,新北市,中和區,國小
14634,市立復興國小,校本部校區,市立復興國小_校本部校區,新北市中和區復興路301巷6號,121.5019302,24.98964691,新北市,中和區,國小
14635,市立興南國小,校本部校區,市立興南國小_校本部校區,新北市中和區興南路一段134巷24號,121.5091248,24.98673058,新北市,中和區,國小
14636,市立秀山國小,校本部校區,市立秀山國小_校本部校區,新北市中和區立人街2號,121.5211639,24.99422264,新北市,中和區,國小
14637,新北市中和區積穗國民小學,校本部校區,新北市中和區積穗國民小學_校本部校區,23548 新北市中和區員山路154號,121.4813995,24.99905586,新北市,中和區,國小
14638,市立自強國小,校本部校區,市立自強國小_校本部校區,新北市中和區莒光路200號,121.4709244,24.99784851,新北市,中和區,國小
14639,市立錦和國小,校本部校區,市立錦和國小_校本部校區,新北市中和區圓通路292號,121.489418,24.9901886,新北市,中和區,國小
14640,市立景新國小,校本部校區,市立景新國小_校本部校區,新北市中和區景新街467巷37號,121.5149918,24.98929977,新北市,中和區,國小
14641,市立永和國小,校本部校區,市立永和國小_校本部校區,新北市永和區秀朗路一段120號,121.5169907,25.0036087,新北市,永和區,國小
14642,市立秀朗國小,校本部校區,市立秀朗國小_校本部校區,新北市永和區得和路202號,121.5212784,24.99968338,新北市,永和區,國小
14643,市立頂溪國小,校本部校區,市立頂溪國小_校本部校區,新北市永和區文化路133號,121.5115814,25.01551819,新北市,永和區,國小
14644,市立網溪國小,校本部校區,市立網溪國小_校本部校區,新北市永和區竹林路79號,121.5193405,25.01293564,新北市,永和區,國小
14645,市立永平國小,校本部校區,市立永平國小_校本部校區,新北市永和區保生路25號,121.5057144,25.00805473,新北市,永和區,國小
14646,市立土城國小,校本部校區,市立土城國小_校本部校區,新北市土城區興城路17號,121.4419327,24.9723835,新北市,土城區,國小
14647,市立清水國小,校本部校區,市立清水國小_校本部校區,新北市土城區金城路2段356號,121.4615097,24.9844017,新北市,土城區,國小
