板橋區,新北市,011C71,私立光華高商進修學校_私立光華高商進修學校校本部,私立光華高商進修學校,duplicate data,121.4522171,高中職,新北市板橋區南雅南路二段40號,24.99674034,私立光華高商進修學校校本部
﻿成功鎮,臺東縣,144517,縣立新港國中_校本部校區,縣立新港國中,duplicate data,121.3763275,國中,臺東縣成功鎮中正路1號,23.10084724,校本部校區
﻿花蓮市,花蓮縣,154522,縣立自強國中_校本部校區,縣立自強國中,duplicate data,121.5988998,國中,花蓮市裕祥路89號,23.99683571,校本部校區
﻿馬公市,澎湖縣,164502,縣立中正國中_校本部校區,縣立中正國中,duplicate data,119.5995407,國中,澎湖縣馬公市光華里101號,23.5600338,校本部校區
﻿中正區,基隆市,173505,市立中正國中_校本部校區,市立中正國中,duplicate data,121.7537155,國中,基隆市中正區中船路36巷59號,25.13510704,校本部校區
﻿信義區,基隆市,173509,市立成功國中_校本部校區,市立成功國中,duplicate data,121.7514725,國中,基隆市信義區壽山路9號,25.1326046,校本部校區
﻿西屯區,臺中市,191503,私立麗?國中(小)_校本部校區,私立麗?國中(小),special value,120.6144034,國中,臺中市西屯區國安二路242巷199號,24.1946626,校本部校區
﻿西區,臺中市,193509,市立光明國中_校本部校區,市立光明國中,duplicate data,120.6733551,國中,臺中市西區自由路一段75號,24.13271713,校本部校區
﻿西屯區,臺中市,193516,市立中山國中_校本部校區,市立中山國中,duplicate data,120.6592636,國中,台中市西屯區寧夏路179號,24.16828918,校本部校區
﻿東區,臺南市,213502,市立忠孝國中_校本部校區,市立忠孝國中,duplicate data,120.2231216,國中,臺南市東區崇善路151號,22.98244476,校本部校區
﻿南區,臺南市,213504,市立大成國中_校本部校區,市立大成國中,duplicate data,120.1991119,國中,臺南市南區西門路一段306號,22.97866631,校本部校區
﻿北區,臺南市,213507,市立成功國中_校本部校區,市立成功國中,duplicate data,120.2170181,國中,臺南市北區和緯路1段2號,23.01014328,校本部校區
﻿中西區,臺南市,213510,市立中山國中_校本部校區,市立中山國中,duplicate data,120.2027969,國中,臺南市中西區南寧街45號,22.98383331,校本部校區
﻿松山區,臺北市,313501,市立介壽國中_校本部校區,市立介壽國中,duplicate data,121.5565109,國中,臺北市松山區介壽里延壽街401號,25.05638695,校本部校區
﻿松山區,臺北市,313502,市立民生國中_校本部校區,市立民生國中,duplicate data,121.5673065,國中,臺北市松山區新東里新東街30巷1號,25.05980873,校本部校區
﻿松山區,臺北市,313504,市立中山國中_校本部校區,市立中山國中,duplicate data,121.545723,國中,臺北市松山區復興北路361巷7號,25.06092262,校本部校區
﻿西屯區,臺中市,313D04,市立中山國中補校,市立中山國中補校,duplicate data,120.6592331,國中,臺北市松山區復興北路361巷7號,24.16852379,
﻿信義區,臺北市,323504,市立?公國中_校本部校區,市立?公國中,special value,121.5857849,國中,臺北市信義區福德街221巷15號,25.0370121,校本部校區
﻿信義區,臺北市,323505,市立信義國中_校本部校區,市立信義國中,duplicate data,121.5679169,國中,臺北市信義區松仁路158巷1號,25.02859116,校本部校區
﻿大安區,臺北市,333502,市立大安國中_校本部校區,市立大安國中,duplicate data,121.5461731,國中,臺北市大安區大安路2段63號,25.03074646,校本部校區
﻿中山區,臺北市,343505,市立新興國中_校本部校區,市立新興國中,duplicate data,121.5257721,國中,臺北市中山區聚葉里林森北路511號,25.06204414,校本部校區
﻿大同區,臺北市,363502,市立忠孝國中_校本部校區,市立忠孝國中,duplicate data,121.5076752,國中,臺北市大同區玉泉里西寧北路32號,25.05151939,校本部校區
﻿大同區,臺北市,363507,市立重慶國中_校本部校區,市立重慶國中,duplicate data,121.5178909,國中,臺北市大同區重慶里敦煌路19號,25.07591057,校本部校區
﻿萬華區,臺北市,371301j,私立立人高中附設國中_校本部校區,私立立人高中附設國中,duplicate data,121.4963989,國中,台北市萬華區桂林路171號,25.03881073,校本部校區
﻿內湖區,臺北市,403501,市立內湖國中_校本部校區,市立內湖國中,duplicate data,121.5886993,國中,臺北市內湖區紫陽里陽光街1號,25.07697678,校本部校區
﻿內湖區,臺北市,403503,市立三民國中_校本部校區,市立三民國中,duplicate data,121.5862503,國中,臺北市內湖區湖興里民權東路6段45號,25.06914902,校本部校區
﻿士林區,臺北市,413504,市立至善國中_校本部校區,市立至善國中,duplicate data,121.5554581,國中,臺北市士林區臨溪里至善路2段360號,25.10354614,校本部校區
﻿北投區,臺北市,423503,市立明德國中_校本部校區,市立明德國中,duplicate data,121.5182953,國中,臺北市北投區建民里明德路50號,25.10754013,校本部校區
﻿北投區,臺北市,423504,市立桃源國中_校本部校區,市立桃源國中,duplicate data,121.4773254,國中,臺北市北投區一德里中央北路4段48號,25.13468361,校本部校區
﻿三民區,高雄市,553502,市立三民國中_校本部校區,市立三民國中,duplicate data,120.3077164,國中,高雄市三民區十全一路200號,22.64663124,校本部校區
﻿三民區,高雄市,553503,市立民族國中_校本部校區,市立民族國中,duplicate data,120.3331833,國中,高雄市三民區覺民路363號,22.64051056,校本部校區
﻿前鎮區,高雄市,593504,市立光華國中_校本部校區,市立光華國中,duplicate data,120.322876,國中,高雄市前鎮區和平二路170號,22.61081123,校本部校區
﻿小港區,高雄市,613503,市立中山國中_校本部校區,市立中山國中,duplicate data,120.3557281,國中,高雄市小港區漢民路352號,22.56606865,校本部校區
﻿北屯區,臺中市,191315,私立磊川華德福實驗教育學校_校本部校區,私立磊川華德福實驗教育學校,duplicate data,120.713014,國小、國中、高中,臺中市北屯區松竹五路233號及366號,24.18033148,校本部校區
﻿西屯區,臺中市,191606,私立麗?國(中)小_校本部校區,私立麗?國(中)小,special value,120.6144034,國小、國中,臺中市西屯區國安二路242巷199號,24.1946626,校本部校區
﻿三重區,新北市,14757,市立厚德國小_校本部校區,市立厚德國小,duplicate data,121.4885941,國小,新北市三重區忠孝路一段70號,25.07185936,校本部校區
﻿汐止區,新北市,14798,市立金龍國小_校本部校區,市立金龍國小,duplicate data,121.6270447,國小,新北市汐止區明峰街201號,25.06880569,校本部校區
﻿桃園區,桃園市,34604,市立成功國小_校本部校區,市立成功國小,duplicate data,121.3063278,國小,桃園市桃園區三民路三段22號,24.99935913,校本部校區
﻿桃園區,桃園市,34606,市立建國國小_校本部校區,市立建國國小,duplicate data,121.3148193,國小,桃園縣桃園市昆明路95號,24.98348045,校本部校區
﻿桃園區,桃園市,34607,市立中山國小_校本部校區,市立中山國小,duplicate data,121.2902069,國小,桃園市桃園區國際路一段1070號,24.9864006,校本部校區
﻿蘆竹區,桃園市,34617,市立新興國小_校本部校區,市立新興國小,duplicate data,121.2648239,國小,桃園市蘆竹區新興里新興街355號,25.0083046,校本部校區
﻿蘆竹區,桃園市,34623,市立新莊國小_校本部校區,市立新莊國小,duplicate data,121.2464142,國小,桃園市蘆竹區大新路380巷121號,25.02775955,校本部校區
